pythonanywhere: pythonanywhere 
hlist: hlist 
td: td 
dl: dl 
ul: ul 
block: blocks block 
inline: inline 
normal: normal 
collapse: collapse 
boxtext: boxtext 
spacing: spacing 
bracket: brackets 
span: span 
abbr: abbr 
decoration: decoration 
mini: mini 
variant: variant 
small: small 
cap: caps 
cursor: cursor 
ct: ct 
v: v 
computing: computing 
desktop: desktop 
function: function 
infrastructure: infrastructure 
integration: integration 
backend: backend 
network: network 
security: security 
technology: technology technologies 
database: database 
storage: storage 
distributed: distributed 
hardware: hardware 
virtualization: virtualization 
internet: internet 
native: native 
networking: networking 
structured: structured 
virtual: virtual 
appliance: appliance 
apis: apis 
private: private 
dropbox: dropbox 
google: google 
workspace: workspace 
drive: drive 
hp: hp 
closed: closed 
ibm: ibm 
microsoft: microsoft 
office: office 
onedrive: onedrive 
nextcloud: nextcloud 
oracle: oracle 
rackspace: rackspace 
salesforce: salesforce 
workday: workday 
zoho: zoho 
alibaba: alibaba 
amazon: amazon 
appscale: appscale 
bluemix: bluemix 
cloudbolt: cloudbolt 
foundry: foundry 
cocaine: cocaine 
paas: paas 
creatio: creatio 
engine: engine 
yard: yard 
helion: helion 
ge: ge 
predix: predix 
app: app 
greenqloud: greenqloud 
heroku: heroku 
inktank: inktank 
jelastic: jelastic 
azure: azure 
mindsphere: mindsphere 
netlify: netlify 
outsystems: outsystems 
openqrm: openqrm 
openshift: openshift 
rightscale: rightscale 
scalr: scalr 
force: force 
sap: sap 
splunk: splunk 
vmware: vmware 
vcloud: vcloud 
air: air 
wavemaker: wavemaker 
abiquo: abiquo 
enterprise: enterprise 
cloudstack: cloudstack 
citrix: citrix 
ctrls: ctrls 
digitalocean: digitalocean 
emc: emc 
atmos: atmos 
eucalyptus: eucalyptus 
fujitsu: fujitsu 
greenbutton: greenbutton 
iland: iland 
joyent: joyent 
linode: linode 
lunacloud: lunacloud 
mirantis: mirantis 
nimbula: nimbula 
nimbus: nimbus 
openio: openio 
opennebula: opennebula 
openstack: openstack 
orionvm: orionvm 
safe: safe 
swiss: swiss 
zadara: zadara 
libvirt: libvirt 
libguestfs: libguestfs 
ovirt: ovirt 
manager: manager 
wakame: wakame 
vdc: vdc 
ondemand: ondemand 
category: categories category 
open: open 
source: source 
android: android 
studio: studio 
anjuta: anjuta 
codelite: codelite 
dev: dev 
eclipse: eclipse 
emacs: emacs 
geany: geany 
gnat: gnat 
gnome: gnome 
builder: builder 
kdevelop: kdevelop 
monodevelop: monodevelop 
netbeans: netbeans 
qdevelop: qdevelop 
qt: qt 
creator: creator 
sharpdevelop: sharpdevelop 
ultimate: ultimate 
vi: vi 
vim: vim 
openwatcom: openwatcom 
freeware: freeware 
visual: visual 
community: community 
xcode: xcode 
retail: retail 
codewarrior: codewarrior 
myeclipse: myeclipse 
jetbrains: jetbrains 
intellij: intellij 
idea: idea 
appcode: appcode 
clion: clion 
labwindows: labwindows 
cvi: cvi 
rational: rational 
architect: architect 
understand: understand 
slickedit: slickedit 
discontinued: discontinued 
visualage: visualage 
express: express 
borland: borland 
turbo: turbo 
java: java 
bluej: bluej 
drjava: drjava 
greenfoot: greenfoot 
servoy: servoy 
jgrasp: jgrasp 
jdeveloper: jdeveloper 
jcreator: jcreator 
websphere: websphere 
business: business 
metrowerks: metrowerks 
pro: pro 
jbuilder: jbuilder 
sun: sun 
superseded: superseded 
age: age 
caf: caf 
aka: aka 
espresso: espresso 
j: j 
xelfi: xelfi 
became: became 
javascript: javascript 
atom: atom 
chromium: chromium 
cli: cli 
pascalabc: pascalabc 
net: net 
rider: rider 
xamarin: xamarin 
basic: basic 
window: windows 
phone: phone 
flash: flash 
adobe: adobe 
flashdevelop: flashdevelop 
powerflasher: powerflasher 
fdt: fdt 
php: php 
aptana: aptana 
komodo: komodo 
codelobster: codelobster 
phpstorm: phpstorm 
phpedit: phpedit 
zend: zend 
r: r 
rstudio: rstudio 
tool: tools 
idle: idle 
eric: eric 
light: light 
table: table 
ninja: ninja 
pydev: pydev 
pyscripter: pyscripter 
pida: pida 
spyder: spyder 
thonny: thonny 
pycharm: pycharm 
wing: wing 
pascal: pascal 
object: object 
lazarus: lazarus 
gnavi: gnavi 
delphi: delphi 
kylix: kylix 
x: x 
sdlbasic: sdlbasic 
gamba: gambas 
hbasic: hbasic 
gl: gl 
qb: qb 
futurebasic: futurebasic 
rapidq: rapidq 
thinair: thinair 
n: ns 
purebasic: purebasic 
glbasic: glbasic 
liberty: liberty 
xojo: xojo 
ca: ca 
realizer: realizer 
jabaco: jabaco 
phoenix: phoenix 
quickbasic: quickbasic 
qbasic: qbasic 
go: go 
goland: goland 
aws: aws 
che: che 
sourcelair: sourcelair 
newpp: newpp 
limit: limit 
report: report 
parsed: parsed 
cached: cached 
cache: cache 
expiry: expiry 
reduced: reduced 
false: false 
complication: complications 
vary: vary 
revision: revision 
sha: sha 
cpu: cpu 
usage: usage 
real: real 
preprocessor: preprocessor 
visited: visited 
node: node 
count: count 
post: post 
expand: expand 
include: include 
byte: bytes 
template: template 
argument: argument 
highest: highest 
expansion: expansion 
depth: depth 
expensive: expensive 
unstrip: unstrip 
recursion: recursion 
lua: lua 
memory: memory 
number: number 
wikibase: wikibase 
entity: entities 
loaded: loaded 
transclusion: transclusion 
m: ms 
call: calls 
total: total 
short: short 
description: description 
main: main 
sdcat: sdcat 
saved: saved 
key: key 
enwiki: enwiki 
pcache: pcache 
idhash: idhash 
canonical: canonical 
timestamp: timestamp 
serialized: serialized 
json: json 
oldid: oldid 
london: london 
article: articles 
match: matches 
wikidata: wikidata 
menu: menu 
