gratis: gratis 
preprocessor: preprocessor 
visited: visited 
node: node 
count: count 
post: post 
expand: expand 
byte: bytes 
highest: highest 
expansion: expansion 
depth: depth 
expensive: expensive 
function: function 
unstrip: unstrip 
recursion: recursion 
lua: lua 
memory: memory 
number: number 
wikibase: wikibase 
entity: entities 
loaded: loaded 
transclusion: transclusion 
m: ms 
total: total 
harvnb: harvnb 
news: news 
ambox: ambox 
short: short 
description: description 
fix: fix 
saved: saved 
key: key 
enwiki: enwiki 
pcache: pcache 
idhash: idhash 
canonical: canonical 
timestamp: timestamp 
serialized: serialized 
json: json 
oldid: oldid 
document: documents 
match: matches 
wikidata: wikidata 
dmy: dmy 
date: dates 
october: october 
lacking: lacking 
maintenance: maintenance 
unsourced: unsourced 
accuracy: accuracy 
dispute: disputes 
disputed: disputed 
menu: menu 
