john: john 
seat: seat 
era: era 
discontent: discontent 
aftermath: aftermath 
seven: seven 
war: war 
government: government 
found: found 
deep: deep 
debt: debt 
began: began 
looking: looking 
way: ways 
generate: generate 
revenue: revenue 
stamp: stamp 
imposed: imposed 
direct: direct 
tax: tax taxes 
specific: specific 
product: products 
imported: imported 
predictably: predictably 
colonist: colonists 
met: met 
fierce: fierce 
opposition: opposition 
claiming: claiming 
taxation: taxation 
without: without 
representation: representation 
organizing: organizing 
boycott: boycotts 
good: goods 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
strong: strong 
measured: measured 
voice: voice 
chosen: chosen 
represent: represent 
drafted: drafted 
body: body 
anti: anti 
resolution: resolution 
though: though 
repealed: repealed 
ignored: ignored 
protest: protests 
passed: passed 
new: new 
publishing: publishing 
chronicle: chronicle 
pseudonym: pseudonym 
fabius: fabius 
advocated: advocated 
peaceful: peaceful 
resistance: resistance 
oppression: oppression 
warned: warned 
answer: answer 
britain: britain 
violation: violations 
republished: republished 
many: many 
colonial: colonial 
newspaper: newspapers 
advocating: advocating 
cautious: cautious 
tyranny: tyranny 
married: married 
mary: mary 
norris: norris 
daughter: daughter 
former: former 
speaker: speaker 
pair: pair 
five: five 
child: children 
although: although 
two: two 
survived: survived 
infancy: infancy 
declaration: declaration 
independence: independence 
serving: serving 
various: various 
role: roles role 
including: including 
battle: battle 
revolutionary: revolutionary 
governor: governor 
second: second 
high: high 
tension: tension 
among: among 
intense: intense 
refused: refused 
vote: vote 
sign: sign 
saying: saying 
emerging: emerging 
nation: nation 
ready: ready 
open: open 
revolt: revolt 
powerful: powerful 
empire: empire 
earth: earth 
end: end 
abstained: abstained 
voting: voting 
overall: overall 
tally: tally 
unanimous: unanimous 
fought: fought 
varying: varying 
served: served 
president: president 
chaired: chaired 
annapolis: annapolis 
convention: convention 
convened: convened 
address: address 
concern: concerns 
represented: represented 
unfortunately: unfortunately 
illness: illness 
kept: kept 
signing: signing 
document: document 
colleague: colleague 
put: put 
parchment: parchment 
final: final 
xa: xa 
returned: returned 
divided: divided 
time: time 
private: private 
political: political 
duty: duty 
constitutional: constitutional 
informal: informal 
advisor: advisor 
thomas: thomas 
jefferson: jefferson 
died: died 
home: home 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
citation: citation 
information: information 
title: title 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
march: march 
original: original 
published: published 
april: april 
receive: receive 
story: stories 
shaped: shaped 
world: world 
person: person 
adam: adams 
vice: vice 
son: son 
quincy: quincy 
sixth: sixth 
hancock: hancock 
th: th 
century: century 
merchant: merchant 
marshall: marshall 
became: became 
fourth: fourth 
chief: chief 
justice: justice 
supreme: supreme 
largely: largely 
responsible: responsible 
establishing: establishing 
federal: federal 
jay: jay 
federalist: federalist 
paper: papers 
george: george 
washington: washington 
led: led 
army: army 
victory: victory 
mccain: mccain 
vietnam: vietnam 
veteran: veteran 
senator: senator 
arizona: arizona 
republican: republican 
nominee: nominee 
presidential: presidential 
election: election 
loss: loss 
barack: barack 
obama: obama 
roger: roger 
sherman: sherman 
signed: signed 
association: association 
house: houses 
lewis: lewis 
big: big 
leader: leaders 
civil: civil 
movement: movement 
continued: continued 
fight: fight 
since: since 
joining: joining 
glenn: glenn 
astronaut: astronaut 
orbit: orbit orbits 
completing: completing 
ohio: ohio 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
