jimmie: jimmie 
century: century 
recording: recording 
artist: artist 
queen: queen 
gospel: gospel 
revered: revered 
greatest: greatest 
musical: musical 
figure: figures 
michael: michael 
multi: multi 
talented: talented 
entertainer: entertainer 
enjoyed: enjoyed 
chart: chart 
topping: topping 
career: career 
solo: solo 
selling: selling 
album: albums 
thriller: thriller 
number: number 
hit: hits 
bad: bad 
wall: wall 
malcolm: malcolm 
prominent: prominent 
islam: islam 
assassination: assassination 
vigorously: vigorously 
supported: supported 
nationalism: nationalism 
fred: fred 
shuttlesworth: shuttlesworth 
top: top 
working: working 
sclc: sclc 
viola: viola 
gregg: gregg 
liuzzo: liuzzo 
activist: activist 
member: members 
ku: ku 
klux: klux 
klan: klan 
effort: efforts 
amelia: amelia 
boynton: boynton 
robinson: robinson 
pioneer: pioneer 
championed: championed 
brutally: brutally 
beaten: beaten 
helping: helping 
lead: lead 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
