john: john 
published: published 
receive: receive 
story: stories 
shaped: shaped 
sign: sign 
person: person 
billie: billie 
holiday: holiday 
influential: influential 
singer: singers singer 
thriving: thriving 
many: many 
battle: battle 
winner: winner 
trumpet: trumpet 
player: player 
charlie: charlie 
parker: parker 
legendary: legendary 
winning: winning 
invented: invented 
musical: musical 
style: style 
bop: bop 
bebop: bebop 
greatest: greatest 
creator: creators 
modern: modern 
ray: ray 
charles: charles 
pioneer: pioneer 
soul: soul 
integrating: integrating 
gospel: gospel 
pop: pop 
hit: hits hit 
unchain: unchain 
road: road 
jack: jack 
georgia: georgia 
mind: mind 
louis: louis 
armstrong: armstrong 
known: known 
wonderful: wonderful 
hello: hello 
dolly: dolly 
star: star 
dust: dust 
la: la 
vie: vie 
en: en 
rose: rose 
originator: originator 
composed: composed 
thousand: thousands 
score: scores 
lewis: lewis 
six: six 
leader: leaders 
civil: civil 
movement: movement 
continued: continued 
fight: fight 
congress: congress 
best: best 
composition: compositions 
include: include 
oop: oop 
bob: bob 
sh: sh 
bam: bam 
salt: salt 
peanut: peanuts 
night: night 
tunisia: tunisia 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
