phyllis: phyllis 
johnny: johnny 
goode: goode 
kate: kate 
chopin: chopin 
writer: writer 
novelist: novelist 
awakening: awakening 
novel: novel 
young: young 
abandon: abandons 
initially: initially 
condemned: condemned 
acclaimed: acclaimed 
lucy: lucy 
stone: stone 
activist: activist 
pioneer: pioneer 
abolitionist: abolitionist 
nancy: nancy 
former: former 
hollywood: hollywood 
actress: actress 
lady: lady 
office: office 
founder: founder 
say: say 
drug: drug 
awareness: awareness 
william: william 
clark: clark 
half: half 
famous: famous 
exploration: exploration 
team: team 
lewis: lewis 
explored: explored 
mapped: mapped 
unknown: unknown 
west: west 
mississippi: mississippi 
river: river 
julia: julia 
tv: tv 
chef: chef 
via: via 
groundbreaking: groundbreaking 
cookbook: cookbook 
mastering: mastering 
art: art 
french: french 
cooking: cooking 
popular: popular 
show: show 
maya: maya 
angelou: angelou 
civil: civil 
poet: poet 
award: award 
winning: winning 
memoir: memoir 
know: know 
caged: caged 
bird: bird 
sings: sings 
numerous: numerous 
poetry: poetry 
essay: essay 
collection: collections 
maria: maria 
mitchell: mitchell 
best: best 
professional: professional 
female: female 
astronomer: astronomer 
discovered: discovered 
comet: comet 
miss: miss 
shirley: shirley 
chisholm: chisholm 
african: african 
congresswoman: congresswoman 
major: major 
black: black 
bid: bid 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
