e: e 
journal: journal 
lost: lost 
election: election 
slim: slim 
margin: margin 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
looking: looking 
way: way 
formally: formally 
challenge: challenge 
city: city 
segregationist: segregationist 
law: laws 
december: december 
fellow: fellow 
member: member 
refused: refused 
surrender: surrender 
seat: seat 
white: white 
passenger: passenger 
arrested: arrested 
played: played 
role: role 
providing: providing 
bail: bail 
enlisted: enlisted 
aid: aid 
attorney: attorney 
clifford: clifford 
durr: durr 
spouse: spouse 
virginia: virginia 
believed: believed 
event: event 
could: could 
spur: spur 
area: area 
line: lines 
processed: processed 
via: via 
legal: legal 
channel: channels 
convincing: convincing 
power: power 
new: new 
preacher: preacher 
dexter: dexter 
avenue: avenue 
baptist: baptist 
church: church 
lead: lead 
result: result 
minister: minister 
ralph: ralph 
abernathy: abernathy 
form: form 
improvement: improvement 
serving: serving 
treasurer: treasurer 
lasted: lasted 
day: days day 
enduring: enduring 
host: host 
travail: travails 
included: included 
harassment: harassment 
violent: violent 
attack: attacks 
home: home 
firebombed: firebombed 
indicted: indicted 
violating: violating 
anti: anti 
statute: statute 
yet: yet 
persevered: persevered 
eventually: eventually 
forced: forced 
lift: lift 
segregation: segregation 
mia: mia 
protesting: protesting 
class: class 
education: education 
based: based 
prejudice: prejudices 
condescending: condescending 
treatment: treatment 
felt: felt 
received: received 
continued: continued 
work: work 
housing: housing 
recreation: recreation 
director: director 
retirement: retirement 
personal: personal 
life: life lives 
honorary: honorary 
doctorate: doctorate 
university: university 
addition: addition 
accolade: accolades 
married: married 
twice: twice 
wife: wife 
alease: alease 
gave: gave 
son: son 
passed: passed 
second: second 
arlette: arlette 
together: together 
age: age 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
television: television 
network: networks 
last: last 
updated: updated 
original: original 
published: published 
april: april 
receive: receive 
story: stories 
shaped: shaped 
world: world 
sign: sign 
person: person 
fred: fred 
shuttlesworth: shuttlesworth 
top: top 
sclc: sclc 
segregated: segregated 
defiance: defiance 
sparked: sparked 
bayard: bayard 
rustin: rustin 
organizer: organizer 
best: best 
known: known 
adviser: adviser 
co: co 
southern: southern 
christian: christian 
conference: conference 
close: close 
scholar: scholar 
led: led 
assassination: assassination 
memorialized: memorialized 
jimmie: jimmie 
lee: lee 
jackson: jackson 
shot: shot 
killed: killed 
trooper: trooper 
demonstration: demonstration 
act: act 
coretta: coretta 
scott: scott 
richard: richard 
th: th 
commander: commander 
chief: chief 
resign: resign 
watergate: watergate 
jo: jo 
robinson: robinson 
organized: organized 
changed: changed 
course: course 
america: america 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
