statsdirect: statsdirect 
sachdev: sachdev 
harshi: harshi 
october: october 
multimedia: multimedia 
indian: indian 
pediatrics: pediatrics 
bechhofer: bechhofer 
sean: sean 
de: de 
roure: roure 
david: david 
missier: missier 
paolo: paolo 
ainsworth: ainsworth 
john: john 
bhagat: bhagat 
jiten: jiten 
couch: couch 
philip: philip 
cruickshank: cruickshank 
delderfield: delderfield 
mark: mark 
dunlop: dunlop 
ian: ian 
gamble: gamble 
matthew: matthew 
michaelides: michaelides 
danius: danius 
owen: owen 
stuart: stuart 
newman: newman 
sufi: sufi 
shoaib: shoaib 
goble: goble 
carole: carole 
linked: linked 
enough: enough 
scientist: scientists 
future: future 
author: authors 
parameter: parameter 
home: home 
navbox: navbox 
box: box 
sizing: sizing 
solid: solid 
inner: inner 
subgroup: subgroup 
group: group 
abovebelow: abovebelow 
line: line 
height: height 
white: white 
space: space 
nowrap: nowrap 
fdfdfd: fdfdfd 
tr: tr 
ccf: ccf 
ddf: ddf 
e: e 
ff: ff 
even: even 
odd: odd 
hlist: hlist 
td: td 
dl: dl 
ul: ul 
block: block 
inline: inline 
normal: normal 
collapse: collapse 
boxtext: boxtext 
spacing: spacing 
bracket: brackets 
span: span 
abbr: abbr 
decoration: decoration 
mini: mini 
variant: variant 
small: small 
cap: caps 
cursor: cursor 
ct: ct 
v: v 
domain: domain 
dataplot: dataplot 
epi: epi 
info: info 
cspro: cspro 
x: x 
arima: arima 
open: open 
source: source 
admb: admb 
dap: dap 
gretl: gretl 
jasp: jasp 
jag: jags 
jmulti: jmulti 
julia: julia 
jupyter: jupyter 
ju: ju 
lia: lia 
py: py 
thon: thon 
gnu: gnu 
octave: octave 
openbugs: openbugs 
orange: orange 
pspp: pspp 
python: python 
statsmodels: statsmodels 
pymc: pymc 
ipython: ipython 
idle: idle 
rstudio: rstudio 
sagemath: sagemath 
simfit: simfit 
sofa: sofa 
stan: stan 
xlispstat: xlispstat 
freeware: freeware 
bv: bv 
cumfreq: cumfreq 
segreg: segreg 
xplore: xplore 
winbugs: winbugs 
commercial: commercial 
cross: cross 
desk: desk 
gauss: gauss 
graphpad: graphpad 
instat: instat 
prism: prism 
ibm: ibm 
spss: spss 
modeler: modeler 
jmp: jmp 
maple: maple 
mathcad: mathcad 
mathematica: mathematica 
matlab: matlab 
oxmetrics: oxmetrics 
rat: rats 
revolution: revolution 
analytics: analytics 
sa: sas 
smartpls: smartpls 
stata: stata 
statview: statview 
sudaan: sudaan 
plus: plus 
tsp: tsp 
programming: programming 
wps: wps 
bmdp: bmdp 
eviews: eviews 
genstat: genstat 
limdep: limdep 
lisrel: lisrel 
medcalc: medcalc 
microfit: microfit 
minitab: minitab 
mlwin: mlwin 
nc: ncss 
shazam: shazam 
sigmastat: sigmastat 
statistica: statistica 
statxact: statxact 
systat: systat 
unscrambler: unscrambler 
unistat: unistat 
excel: excel 
add: add 
ons: ons 
analyse: analyse 
xlfit: xlfit 
rexcel: rexcel 
category: categories category 
comparison: comparison 
newpp: newpp 
limit: limit 
parsed: parsed 
cached: cached 
time: time 
cache: cache 
expiry: expiry 
reduced: reduced 
false: false 
complication: complications 
vary: vary 
revision: revision 
sha: sha 
cpu: cpu 
usage: usage 
real: real 
preprocessor: preprocessor 
visited: visited 
node: node 
count: count 
post: post 
expand: expand 
include: include 
byte: bytes 
template: template 
argument: argument 
highest: highest 
expansion: expansion 
depth: depth 
expensive: expensive 
unstrip: unstrip 
recursion: recursion 
lua: lua 
memory: memory 
number: number 
wikibase: wikibase 
entity: entities 
loaded: loaded 
transclusion: transclusion 
m: ms 
total: total 
simple: simple 
date: date 
age: age 
saved: saved 
key: key 
enwiki: enwiki 
pcache: pcache 
idhash: idhash 
canonical: canonical 
timestamp: timestamp 
serialized: serialized 
json: json 
oldid: oldid 
biostatistics: biostatistics 
informatics: informatics 
united: united 
kingdom: kingdom 
