paris: paris 
access: access 
publisher: publisher 
television: television 
network: networks 
last: last 
updated: updated 
original: original 
published: published 
receive: receive 
shaped: shaped 
world: world 
person: person 
best: best 
international: international 
superstar: superstar 
rest: rest 
famous: famous 
multi: multi 
talented: talented 
musical: musical 
entertainer: entertainer 
enjoyed: enjoyed 
chart: chart 
topping: topping 
solo: solo 
artist: artists artist 
selling: selling 
thriller: thriller 
number: number 
hit: hits hit 
bad: bad 
wall: wall 
ii: ii 
third: third 
joseph: joseph 
jr: jr 
nicknamed: nicknamed 
jermaine: jermaine 
member: member 
group: group 
tj: tj 
performing: performing 
guardianship: guardianship 
cousin: cousins 
janet: janet 
contemporary: contemporary 
roster: roster 
includes: includes 
control: control 
rhythm: rhythm 
nation: nation 
velvet: velvet 
rope: rope 
unbreakable: unbreakable 
randy: randy 
fame: fame 
r: r 
b: b 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
