nagare: nagare 
express: express 
ext: ext 
jquery: jquery 
knockout: knockout 
meteor: meteor 
mootools: mootools 
node: node 
openui: openui 
prototype: prototype 
react: react 
sencha: sencha 
touch: touch 
sproutcore: sproutcore 
svelte: svelte 
vue: vue 
wakanda: wakanda 
perl: perl 
catalyst: catalyst 
dancer: dancer 
mason: mason 
maypole: maypole 
mojolicious: mojolicious 
webgui: webgui 
php: php 
cakephp: cakephp 
codeigniter: codeigniter 
drupal: drupal 
fat: fat 
fuelphp: fuelphp 
grav: grav 
gyroscope: gyroscope 
horde: horde 
joomla: joomla 
kohana: kohana 
lamina: laminas 
laravel: laravel 
lithium: lithium 
midgard: midgard 
modx: modx 
nette: nette 
phalcon: phalcon 
fusion: fusion 
pop: pop 
prado: prado 
processwire: processwire 
qcodo: qcodo 
silex: silex 
silverstripe: silverstripe 
symfony: symfony 
typo: typo 
wordpress: wordpress 
xoops: xoops 
yii: yii 
bluebream: bluebream 
pyjs: pyjs 
ruby: ruby 
camping: camping 
merb: merb 
padrino: padrino 
rail: rails 
sinatra: sinatra 
rust: rust 
rocket: rocket 
scala: scala 
lift: lift 
scalatra: scalatra 
aida: aida 
typescript: typescript 
nestjs: nestjs 
language: language languages 
pl: pl 
sql: sql 
groovy: groovy 
openacs: openacs 
tcl: tcl 
phoenix: phoenix 
elixir: elixir 
yaw: yaws 
erlang: erlang 
asbox: asbox 
position: position 
relative: relative 
overflow: overflow 
table: table 
p: p 
italic: italic 
note: note 
smaller: smaller 
absolute: absolute 
software: software 
related: related 
stub: stubs stub 
expanding: expanding 
newpp: newpp 
limit: limit 
report: report 
parsed: parsed 
cached: cached 
time: time 
cache: cache 
expiry: expiry 
reduced: reduced 
true: true 
complication: complications 
vary: vary 
revision: revision 
sha: sha 
cpu: cpu 
usage: usage 
second: seconds 
real: real 
preprocessor: preprocessor 
visited: visited 
count: count 
post: post 
expand: expand 
include: include 
byte: bytes 
argument: argument 
highest: highest 
expansion: expansion 
depth: depth 
expensive: expensive 
function: function 
unstrip: unstrip 
recursion: recursion 
lua: lua 
memory: memory 
number: number 
wikibase: wikibase 
entity: entities 
loaded: loaded 
transclusion: transclusion 
m: ms 
call: calls 
total: total 
simple: simple 
wikidata: wikidata 
ambox: ambox 
saved: saved 
key: key 
enwiki: enwiki 
pcache: pcache 
idhash: idhash 
canonical: canonical 
timestamp: timestamp 
serialized: serialized 
json: json 
oldid: oldid 
category: categories 
programming: programming 
programmed: programmed 
using: using 
rich: rich 
berkeley: berkeley 
distribution: distribution 
webarchive: webarchive 
unclear: unclear 
menu: menu 
